                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.92206,                0.56614,                 0.9997,                0.87807,                0.69883,                0.80915,                0.52623,                0.89401,                0.53254,                 1.0075,             0.00063676,             0.00063676,             0.00063676
                     58,                0.91991,                0.56982,                 1.0003,                0.83747,                0.71274,                0.80205,                0.52746,                0.89612,                0.53198,                 1.0081,             0.00062262,             0.00062262,             0.00062262
                     59,                0.91422,                 0.5593,                0.99828,                0.85656,                0.70753,                0.80715,                0.52811,                0.89317,                0.53068,                  1.007,             0.00060847,             0.00060847,             0.00060847
                     60,                0.91323,                0.56161,                0.99932,                0.85867,                0.70864,                0.81073,                0.52938,                 0.8917,                0.52776,                 1.0057,             0.00059432,             0.00059432,             0.00059432
                     61,                0.90702,                0.55644,                0.99599,                0.86827,                0.72641,                0.81821,                0.53376,                0.88072,                0.51863,                 1.0002,             0.00058017,             0.00058017,             0.00058017
                     62,                0.90343,                0.55468,                0.99375,                0.85105,                0.72654,                0.81185,                 0.5304,                0.88384,                0.52262,                  1.001,             0.00056603,             0.00056603,             0.00056603
                     63,                0.90171,                 0.5516,                0.98976,                0.86559,                0.71371,                0.81132,                0.52874,                0.88329,                0.52033,                 1.0017,             0.00055188,             0.00055188,             0.00055188
                     64,                0.89136,                0.54878,                0.99019,                0.86178,                 0.7321,                0.81504,                0.53522,                0.87515,                0.51526,                0.99775,             0.00053773,             0.00053773,             0.00053773
                     65,                0.89838,                0.54869,                0.99398,                0.86335,                0.71167,                0.81603,                0.53559,                0.87744,                 0.5179,                 1.0009,             0.00052359,             0.00052359,             0.00052359
                     66,                0.88898,                0.54641,                0.98871,                0.85781,                0.73227,                0.81867,                0.53873,                0.87376,                0.51291,                0.99595,             0.00050944,             0.00050944,             0.00050944
                     67,                0.88266,                0.54171,                 0.9856,                0.84727,                0.73436,                0.82077,                0.54063,                0.86794,                0.51013,                0.99536,             0.00049529,             0.00049529,             0.00049529
                     68,                0.88721,                0.54806,                 0.9884,                0.86902,                0.72202,                0.81749,                0.53804,                0.86657,                0.50917,                0.99442,             0.00048114,             0.00048114,             0.00048114
                     69,                0.88185,                0.53744,                0.98174,                0.87241,                0.72385,                0.82244,                0.54557,                0.86618,                0.50517,                0.99253,               0.000467,               0.000467,               0.000467
                     70,                 0.8774,                0.53625,                0.98044,                0.86706,                0.73062,                0.82423,                0.54649,                0.86462,                0.50602,                0.99492,             0.00045285,             0.00045285,             0.00045285
                     71,                0.87366,                0.53252,                0.98007,                0.87678,                0.71993,                0.82384,                0.54034,                0.86058,                0.50301,                0.99184,              0.0004387,              0.0004387,              0.0004387
                     72,                0.86829,                0.53069,                 0.9786,                0.87606,                0.72368,                 0.8253,                0.54589,                0.86361,                0.50486,                0.99216,             0.00042456,             0.00042456,             0.00042456
                     73,                0.86963,                0.52887,                0.97781,                0.87325,                0.73498,                0.82566,                 0.5472,                0.86119,                0.50335,                0.99229,             0.00041041,             0.00041041,             0.00041041
                     74,                0.86631,                0.52506,                0.97802,                  0.887,                 0.7262,                0.82714,                0.55067,                0.85388,                0.50042,                0.98917,             0.00039626,             0.00039626,             0.00039626
                     75,                0.85627,                0.52267,                0.97096,                0.88993,                0.73562,                0.82762,                0.54782,                0.85678,                    0.5,                0.98961,             0.00038211,             0.00038211,             0.00038211
                     76,                0.85925,                 0.5189,                0.97217,                0.87955,                0.73482,                 0.8299,                0.54972,                0.85748,                 0.4988,                0.99027,             0.00036797,             0.00036797,             0.00036797
                     77,                0.85045,                0.51802,                0.97102,                0.87928,                0.74241,                 0.8307,                0.55339,                0.84986,                0.49652,                0.98705,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.8509,                0.51685,                0.97181,                0.87757,                0.74694,                0.83296,                0.55468,                0.85001,                0.49589,                0.98763,             0.00033967,             0.00033967,             0.00033967
                     79,                0.84804,                0.51357,                0.97048,                0.88238,                0.73587,                0.83176,                0.55616,                0.84818,                0.49562,                0.98826,             0.00032553,             0.00032553,             0.00032553
                     80,                0.84744,                0.51434,                0.96876,                0.88675,                0.74579,                0.83513,                0.56119,                0.84498,                0.49514,                 0.9863,             0.00031138,             0.00031138,             0.00031138
                     81,                0.84042,                0.51005,                0.96631,                0.87155,                0.74931,                 0.8352,                0.56058,                0.84403,                0.49108,                0.98527,             0.00029723,             0.00029723,             0.00029723
                     82,                0.83787,                0.51044,                0.96647,                0.88536,                0.74102,                0.83558,                 0.5601,                0.84318,                0.48895,                0.98421,             0.00028308,             0.00028308,             0.00028308
                     83,                0.83479,                0.50748,                0.96506,                0.88315,                0.74516,                0.83633,                0.56413,                0.83892,                 0.4881,                 0.9824,             0.00026894,             0.00026894,             0.00026894
                     84,                0.82518,                0.49816,                0.96202,                0.87085,                0.75494,                0.83885,                0.56199,                0.83988,                0.48565,                0.98311,             0.00025479,             0.00025479,             0.00025479
                     85,                0.82808,                0.50045,                0.96101,                0.88378,                   0.74,                0.83894,                0.56176,                0.83977,                 0.4842,                0.98258,             0.00024064,             0.00024064,             0.00024064
                     86,                0.82506,                0.50026,                0.96119,                0.89154,                0.74311,                0.84077,                0.56469,                0.83868,                0.48517,                0.98299,              0.0002265,              0.0002265,              0.0002265
                     87,                0.82006,                0.49336,                0.95891,                0.88736,                0.74724,                0.84258,                0.56609,                0.83764,                0.48422,                 0.9829,             0.00021235,             0.00021235,             0.00021235
                     88,                0.81842,                0.49468,                0.95878,                0.90745,                0.74041,                0.84145,                0.56469,                0.83585,                 0.4845,                0.98255,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.8157,                0.49414,                0.95575,                0.88669,                0.74757,                0.84151,                 0.5668,                0.83085,                0.48269,                0.98022,             0.00018406,             0.00018406,             0.00018406
                     90,                0.80874,                0.48073,                0.94847,                0.88501,                0.74156,                0.83496,                0.55369,                0.85145,                0.49578,                 0.9865,             0.00016991,             0.00016991,             0.00016991
                     91,                0.78845,                0.47035,                0.94477,                0.87321,                0.74903,                0.83507,                0.55733,                0.84435,                0.49364,                0.98561,             0.00015576,             0.00015576,             0.00015576
                     92,                0.78141,                0.46555,                0.93881,                0.89076,                 0.7396,                0.83679,                0.55986,                0.84139,                0.49084,                0.98518,             0.00014161,             0.00014161,             0.00014161
                     93,                0.77559,                 0.4628,                0.93775,                0.87082,                0.75942,                0.83821,                0.56133,                0.83829,                0.48829,                0.98327,             0.00012747,             0.00012747,             0.00012747
                     94,                0.77374,                0.46104,                0.93755,                0.88986,                0.74197,                0.83966,                0.56409,                0.83644,                0.48518,                0.98326,             0.00011332,             0.00011332,             0.00011332
                     95,                0.76958,                0.46053,                0.93636,                0.89499,                0.74459,                 0.8395,                0.56497,                0.83546,                0.48467,                0.98312,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76774,                 0.4566,                0.93413,                0.89764,                0.73793,                0.83904,                 0.5642,                 0.8346,                0.48468,                0.98206,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.7602,                0.45266,                0.92921,                0.87177,                0.76258,                0.83905,                0.56438,                 0.8345,                0.48599,                0.98175,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75789,                0.45192,                 0.9307,                0.87183,                0.75814,                0.83972,                0.56604,                0.83109,                0.48385,                0.98078,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.75316,                0.44764,                0.92791,                0.86452,                0.76233,                0.83981,                 0.5668,                0.83107,                0.48374,                0.98085,             4.2584e-05,             4.2584e-05,             4.2584e-05
