                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.96851,                0.59604,                 1.0441,                0.82882,                0.67856,                0.76101,                0.46834,                0.98868,                0.57903,                 1.0658,             0.00076409,             0.00076409,             0.00076409
                     49,                0.96554,                0.59579,                 1.0399,                0.82204,                0.66875,                0.75854,                0.46541,                0.98422,                 0.5857,                 1.0651,             0.00074994,             0.00074994,             0.00074994
                     50,                0.95554,                0.58817,                  1.038,                0.81896,                0.65091,                0.74912,                0.47132,                0.95437,                0.58363,                 1.0534,             0.00073579,             0.00073579,             0.00073579
                     51,                0.95446,                0.58567,                 1.0381,                0.84738,                0.64695,                0.75232,                0.47533,                0.94699,                0.58012,                 1.0482,             0.00072164,             0.00072164,             0.00072164
                     52,                  0.955,                0.58811,                 1.0352,                0.83391,                0.66507,                0.75774,                0.47653,                 0.9669,                0.57198,                 1.0577,              0.0007075,              0.0007075,              0.0007075
                     53,                0.95255,                0.58324,                 1.0366,                0.82755,                0.66769,                0.76604,                0.48396,                0.94085,                0.56705,                 1.0487,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.9479,                0.57376,                 1.0336,                 0.8487,                0.64789,                0.76175,                0.48578,                0.94303,                0.56641,                 1.0466,              0.0006792,              0.0006792,              0.0006792
                     55,                0.94228,                0.58017,                  1.029,                0.83385,                0.66113,                 0.7655,                 0.4856,                0.94699,                0.57396,                 1.0453,             0.00066506,             0.00066506,             0.00066506
                     56,                0.94448,                0.57679,                 1.0338,                0.82707,                0.66914,                0.76401,                0.48046,                0.94299,                 0.5619,                 1.0464,             0.00065091,             0.00065091,             0.00065091
                     57,                0.93777,                 0.5735,                 1.0284,                0.85877,                0.67026,                0.77132,                0.49357,                0.93139,                0.55356,                 1.0401,             0.00063676,             0.00063676,             0.00063676
                     58,                0.93447,                 0.5744,                 1.0278,                 0.8458,                0.65851,                0.76617,                 0.4931,                0.92928,                 0.5651,                 1.0437,             0.00062262,             0.00062262,             0.00062262
                     59,                0.92763,                0.56951,                 1.0252,                0.84766,                0.68194,                0.78289,                0.50281,                0.91957,                0.55123,                 1.0365,             0.00060847,             0.00060847,             0.00060847
                     60,                0.93039,                0.56569,                 1.0257,                 0.8399,                0.66058,                 0.7623,                0.49262,                0.92083,                0.55843,                 1.0392,             0.00059432,             0.00059432,             0.00059432
                     61,                0.92171,                0.55903,                 1.0211,                0.84212,                0.68013,                0.77495,                 0.4924,                0.93094,                 0.5487,                 1.0395,             0.00058017,             0.00058017,             0.00058017
                     62,                0.92846,                0.56454,                 1.0225,                0.86013,                0.67852,                0.77873,                0.49968,                 0.9155,                0.54531,                 1.0348,             0.00056603,             0.00056603,             0.00056603
                     63,                0.92034,                0.55804,                 1.0209,                0.86354,                 0.6799,                 0.7801,                0.49941,                0.92918,                0.54944,                 1.0366,             0.00055188,             0.00055188,             0.00055188
                     64,                0.91124,                0.55123,                 1.0134,                0.86872,                0.66615,                0.77898,                0.50148,                0.91965,                 0.5421,                 1.0351,             0.00053773,             0.00053773,             0.00053773
                     65,                0.90975,                0.55216,                 1.0102,                 0.8607,                 0.6723,                0.78102,                0.49844,                0.91564,                0.54762,                 1.0319,             0.00052359,             0.00052359,             0.00052359
                     66,                0.90793,                0.54993,                 1.0105,                0.84986,                0.68444,                0.78336,                0.51069,                0.90579,                0.54424,                 1.0297,             0.00050944,             0.00050944,             0.00050944
                     67,                0.89923,                0.54225,                 1.0119,                0.86427,                0.68937,                 0.7883,                0.50541,                0.91527,                0.53167,                  1.031,             0.00049529,             0.00049529,             0.00049529
                     68,                0.89862,                0.54185,                 1.0056,                0.87229,                0.67074,                0.78517,                0.50427,                0.91357,                0.54029,                 1.0311,             0.00048114,             0.00048114,             0.00048114
                     69,                0.89782,                0.54491,                 1.0057,                0.84469,                0.67915,                0.78228,                0.51453,                0.90307,                0.54418,                 1.0281,               0.000467,               0.000467,               0.000467
                     70,                0.89427,                0.54229,                 1.0068,                0.83761,                0.69373,                0.78442,                0.51064,                0.90653,                0.53022,                  1.029,             0.00045285,             0.00045285,             0.00045285
                     71,                0.88997,                 0.5383,                 1.0042,                0.86373,                0.67644,                0.78164,                0.50394,                0.90621,                0.53199,                 1.0294,              0.0004387,              0.0004387,              0.0004387
                     72,                0.88701,                0.53533,                0.99985,                0.85385,                0.69258,                0.79134,                0.51259,                0.90366,                0.53058,                 1.0286,             0.00042456,             0.00042456,             0.00042456
                     73,                0.87642,                0.53113,                0.99946,                0.85733,                0.68502,                 0.7885,                0.51128,                0.91335,                0.52918,                 1.0321,             0.00041041,             0.00041041,             0.00041041
                     74,                0.88618,                0.53612,                 1.0048,                0.85971,                0.68962,                0.79429,                0.51567,                0.90637,                0.52982,                 1.0286,             0.00039626,             0.00039626,             0.00039626
                     75,                0.87564,                0.52581,                 0.9999,                0.87925,                0.69123,                0.79834,                0.51888,                0.90089,                0.51968,                 1.0265,             0.00038211,             0.00038211,             0.00038211
                     76,                0.87654,                0.52786,                0.99813,                0.86224,                0.68748,                0.79145,                0.52026,                0.89095,                0.52087,                 1.0232,             0.00036797,             0.00036797,             0.00036797
                     77,                0.87378,                0.52463,                0.99691,                0.86999,                 0.6931,                0.79658,                0.52323,                 0.8894,                 0.5214,                 1.0232,             0.00035382,             0.00035382,             0.00035382
                     78,                0.87251,                0.52748,                0.99819,                0.88079,                0.67818,                0.79516,                0.51887,                0.89804,                0.52523,                 1.0246,             0.00033967,             0.00033967,             0.00033967
                     79,                0.86913,                0.52166,                0.99363,                0.86125,                0.70574,                0.80202,                0.52593,                0.88427,                0.51685,                 1.0207,             0.00032553,             0.00032553,             0.00032553
                     80,                0.86216,                 0.5183,                0.98932,                0.89787,                0.68238,                0.79979,                0.51943,                0.88866,                0.51429,                 1.0212,             0.00031138,             0.00031138,             0.00031138
                     81,                0.86124,                0.51512,                0.99555,                0.88302,                0.68478,                0.80082,                0.52401,                0.88308,                0.51665,                 1.0195,             0.00029723,             0.00029723,             0.00029723
                     82,                0.85882,                0.51615,                0.99128,                0.87188,                  0.691,                0.80115,                0.52443,                0.89064,                0.51568,                 1.0218,             0.00028308,             0.00028308,             0.00028308
                     83,                0.85749,                0.51935,                0.99161,                 0.8549,                0.70418,                0.80127,                0.52302,                0.88452,                0.51411,                 1.0198,             0.00026894,             0.00026894,             0.00026894
                     84,                0.85479,                0.51399,                0.99023,                0.86427,                0.69772,                0.79893,                0.52522,                0.88462,                0.51733,                 1.0198,             0.00025479,             0.00025479,             0.00025479
                     85,                0.85412,                0.51101,                0.98749,                0.87283,                0.69486,                0.80418,                0.52972,                0.88039,                 0.5133,                 1.0195,             0.00024064,             0.00024064,             0.00024064
                     86,                0.85301,                0.51176,                0.98588,                0.84748,                0.71171,                0.80552,                0.52795,                 0.8809,                0.50989,                 1.0188,              0.0002265,              0.0002265,              0.0002265
                     87,                0.84455,                 0.5046,                 0.9842,                0.86622,                0.69204,                 0.8016,                0.52441,                0.88227,                0.51019,                 1.0192,             0.00021235,             0.00021235,             0.00021235
                     88,                0.84359,                0.50327,                 0.9854,                0.87681,                0.69639,                 0.8015,                 0.5245,                0.88652,                0.51097,                 1.0191,              0.0001982,              0.0001982,              0.0001982
                     89,                0.84318,                0.50432,                0.98738,                0.86138,                0.70404,                0.80191,                0.52486,                 0.8876,                0.50962,                 1.0201,             0.00018406,             0.00018406,             0.00018406
                     90,                0.82258,                0.48629,                0.96972,                0.87018,                0.69603,                0.79808,                0.51868,                0.89892,                0.51769,                 1.0257,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.8094,                0.47574,                0.96611,                0.85151,                0.71076,                0.80016,                0.52028,                0.89407,                0.51619,                 1.0237,             0.00015576,             0.00015576,             0.00015576
                     92,                0.79993,                0.47007,                0.96196,                0.85251,                0.70398,                0.80025,                0.52188,                0.89239,                0.51625,                 1.0221,             0.00014161,             0.00014161,             0.00014161
                     93,                0.79345,                0.46884,                0.96109,                0.86141,                0.70376,                0.80285,                 0.5236,                0.89186,                0.51199,                 1.0219,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.7962,                0.46593,                0.95991,                0.87453,                0.69843,                0.80306,                0.52199,                0.89632,                0.51368,                 1.0228,             0.00011332,             0.00011332,             0.00011332
                     95,                0.78759,                0.46209,                0.95862,                0.86721,                0.70405,                0.80424,                0.52581,                0.89075,                0.50958,                   1.02,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.78828,                0.46271,                0.95621,                0.87514,                  0.699,                0.80344,                0.52405,                 0.8915,                0.51051,                 1.0199,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.78314,                0.46016,                0.95452,                0.85389,                0.71529,                 0.8065,                0.52474,                0.89078,                0.51052,                 1.0195,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.78112,                0.45796,                0.95522,                0.85339,                0.72371,                0.80872,                0.52624,                0.88799,                0.50911,                 1.0183,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.7832,                 0.4594,                0.95789,                 0.8548,                0.71622,                0.80727,                0.52572,                0.88551,                0.50783,                  1.017,             4.2584e-05,             4.2584e-05,             4.2584e-05
