                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.92456,                0.56178,                 1.0079,                0.85916,                 0.6831,                0.78361,                0.51018,                0.90624,                0.54684,                  1.018,             0.00069335,             0.00069335,             0.00069335
                     54,                0.91641,                0.55547,                 1.0035,                0.85182,                0.69984,                0.79274,                0.52238,                0.89997,                0.54733,                 1.0143,              0.0006792,              0.0006792,              0.0006792
                     55,                0.91409,                0.55751,                 1.0033,                0.86303,                0.67768,                0.78415,                0.51834,                0.89647,                0.54838,                 1.0144,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.9136,                0.55522,                 1.0055,                0.85801,                0.68979,                0.78501,                0.51484,                0.90488,                0.53389,                 1.0167,             0.00065091,             0.00065091,             0.00065091
                     57,                0.90697,                 0.5522,                 1.0017,                0.86977,                0.70088,                0.79974,                0.53163,                0.88955,                0.52541,                 1.0113,             0.00063676,             0.00063676,             0.00063676
                     58,                0.90622,                0.55198,                0.99922,                0.86708,                0.69314,                0.79554,                 0.5285,                0.88491,                0.52915,                 1.0071,             0.00062262,             0.00062262,             0.00062262
                     59,                 0.9005,                0.54766,                0.99751,                 0.8391,                0.69113,                0.78919,                0.52995,                0.88436,                0.54088,                 1.0104,             0.00060847,             0.00060847,             0.00060847
                     60,                0.90059,                0.54529,                0.99707,                0.84932,                0.68934,                0.79691,                0.52839,                0.88457,                0.52695,                 1.0081,             0.00059432,             0.00059432,             0.00059432
                     61,                 0.8904,                0.54004,                0.99421,                0.85598,                0.69995,                0.79753,                0.53375,                0.88528,                0.52057,                 1.0074,             0.00058017,             0.00058017,             0.00058017
                     62,                0.89994,                0.53779,                0.99552,                0.88131,                0.69698,                0.80391,                0.53319,                0.87603,                0.51571,                 1.0038,             0.00056603,             0.00056603,             0.00056603
                     63,                0.89193,                0.53728,                0.99381,                0.85095,                0.70746,                 0.8024,                0.53513,                0.87471,                0.51552,                 1.0066,             0.00055188,             0.00055188,             0.00055188
