                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.88708,                0.55014,                 0.9726,                0.86798,                0.70812,                0.80593,                0.52868,                0.88917,                0.52919,                0.98897,             0.00033967,             0.00033967,             0.00033967
                     79,                0.88068,                0.54738,                 0.9693,                0.87609,                0.70749,                0.80891,                 0.5307,                 0.8846,                0.52609,                0.98549,             0.00032553,             0.00032553,             0.00032553
                     80,                0.88006,                0.54623,                 0.9674,                0.87049,                0.71564,                0.81205,                0.53435,                0.87975,                0.52445,                0.98407,             0.00031138,             0.00031138,             0.00031138
                     81,                0.87845,                0.54395,                 0.9667,                0.88377,                0.71023,                0.81496,                0.53381,                0.88044,                0.52476,                 0.9845,             0.00029723,             0.00029723,             0.00029723
                     82,                0.87375,                0.54141,                0.96517,                0.88857,                0.70521,                0.81006,                0.53509,                0.87986,                0.52351,                0.98396,             0.00028308,             0.00028308,             0.00028308
                     83,                0.86803,                0.53958,                0.96326,                0.88545,                0.70556,                0.81099,                0.53458,                0.87918,                0.52336,                 0.9835,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.8704,                0.53824,                0.96525,                0.89375,                0.70429,                0.81497,                0.53516,                0.87834,                0.52139,                0.98375,             0.00025479,             0.00025479,             0.00025479
                     85,                0.86058,                0.53331,                 0.9628,                0.89707,                0.70657,                0.81518,                 0.5368,                0.87611,                0.51899,                0.98206,             0.00024064,             0.00024064,             0.00024064
                     86,                0.85795,                0.53088,                0.96127,                0.88513,                0.70429,                0.81518,                0.53861,                0.87609,                0.51874,                0.98165,              0.0002265,              0.0002265,              0.0002265
                     87,                  0.862,                0.53379,                0.96104,                0.86002,                0.72626,                0.81682,                0.53701,                0.87451,                0.51794,                0.98116,             0.00021235,             0.00021235,             0.00021235
                     88,                0.85827,                0.53115,                0.95723,                  0.879,                0.70857,                0.81839,                0.53771,                0.87354,                0.51695,                0.98036,              0.0001982,              0.0001982,              0.0001982
                     89,                0.85016,                0.52771,                 0.9557,                0.85535,                0.71854,                0.81699,                0.53578,                0.87405,                0.51807,                0.97969,             0.00018406,             0.00018406,             0.00018406
                     90,                0.83508,                0.50705,                0.94479,                0.86861,                0.71561,                0.80818,                0.52911,                0.88999,                0.52735,                0.98539,             0.00016991,             0.00016991,             0.00016991
                     91,                0.82183,                0.50199,                0.94178,                0.85405,                0.72848,                0.80989,                0.52796,                0.88857,                0.52979,                0.98529,             0.00015576,             0.00015576,             0.00015576
                     92,                0.81348,                0.49739,                0.93888,                0.87501,                0.71376,                0.80786,                0.52854,                0.88708,                0.52689,                0.98405,             0.00014161,             0.00014161,             0.00014161
                     93,                0.81129,                0.49157,                0.93591,                0.87476,                0.72358,                0.81653,                0.53514,                0.87975,                0.52274,                0.98162,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.8044,                0.48944,                0.93528,                0.87278,                0.71901,                0.81474,                0.53419,                0.88138,                0.52188,                0.98179,             0.00011332,             0.00011332,             0.00011332
                     95,                0.80174,                0.48965,                0.93638,                0.87668,                0.71912,                 0.8169,                0.53823,                0.88022,                0.51825,                0.98162,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.79476,                0.48294,                0.93245,                0.87816,                0.71838,                0.81806,                0.53866,                0.87732,                0.51662,                0.98114,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.79751,                0.48364,                0.93336,                0.86789,                0.72303,                0.81856,                0.53986,                0.87825,                0.51692,                0.98169,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.79142,                 0.4792,                0.93133,                0.87151,                0.72389,                0.82138,                0.54168,                0.87405,                 0.5166,                0.98042,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.79017,                0.48024,                0.92941,                0.87155,                0.72534,                0.82052,                0.54015,                0.87282,                0.51589,                0.97999,             4.2584e-05,             4.2584e-05,             4.2584e-05
