                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.99515,                0.62484,                 1.0257,                0.82664,                0.64198,                0.73921,                0.45092,                  1.016,                0.61121,                 1.0495,             0.00077823,             0.00077823,             0.00077823
                     48,                0.99429,                0.62908,                  1.028,                0.80512,                0.57577,                0.66983,                 0.3932,                 1.1116,                0.72663,                 1.0848,             0.00076409,             0.00076409,             0.00076409
                     49,                0.98759,                0.62561,                 1.0279,                0.82536,                0.59437,                0.71577,                 0.4414,                 1.0194,                 0.6182,                 1.0566,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0004,                0.62888,                 1.0302,                0.78677,                0.60666,                0.69252,                0.40428,                 1.0987,                0.69521,                 1.0758,             0.00073579,             0.00073579,             0.00073579
                     51,                0.98949,                0.62118,                 1.0212,                0.76593,                0.58463,                0.66035,                 0.3924,                 1.0756,                0.71872,                 1.0657,             0.00072164,             0.00072164,             0.00072164
                     52,                0.99118,                0.62458,                 1.0221,                0.81356,                0.64198,                0.73975,                0.45018,                 1.0027,                 0.6041,                 1.0452,              0.0007075,              0.0007075,              0.0007075
                     53,                0.98003,                 0.6123,                 1.0133,                0.79542,                0.65923,                0.74394,                0.46335,                0.99015,                0.59058,                 1.0388,             0.00069335,             0.00069335,             0.00069335
                     54,                0.98594,                0.61934,                 1.0183,                0.75236,                0.59796,                0.67163,                0.38887,                 1.1067,                0.71972,                 1.0733,              0.0006792,              0.0006792,              0.0006792
                     55,                0.98023,                0.61807,                 1.0131,                0.84351,                0.61946,                0.72822,                0.44734,                  1.029,                0.62671,                 1.0481,             0.00066506,             0.00066506,             0.00066506
                     56,                0.97257,                0.61276,                 1.0065,                0.82696,                0.62626,                0.71077,                0.43027,                 1.0729,                0.67671,                 1.0615,             0.00065091,             0.00065091,             0.00065091
                     57,                0.97227,                0.60953,                 1.0064,                0.84621,                0.61214,                0.72326,                0.43832,                 1.0486,                0.66126,                 1.0499,             0.00063676,             0.00063676,             0.00063676
