                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.97079,                 0.5972,                 1.0404,                0.81475,                0.65301,                0.75265,                0.48206,                0.92917,                0.57299,                 1.0483,             0.00082067,             0.00082067,             0.00082067
                     45,                0.95773,                0.58655,                 1.0319,                0.81731,                0.64136,                0.74342,                0.47474,                0.93557,                0.57265,                 1.0447,             0.00080653,             0.00080653,             0.00080653
                     46,                0.96397,                0.59334,                 1.0455,                0.81292,                0.65199,                0.75099,                0.48292,                0.92964,                0.57679,                  1.046,             0.00079238,             0.00079238,             0.00079238
                     47,                0.96143,                  0.588,                 1.0368,                0.82395,                0.65976,                0.75355,                0.48602,                0.94774,                0.57761,                 1.0484,             0.00077823,             0.00077823,             0.00077823
                     48,                0.95421,                 0.5869,                 1.0386,                0.82015,                0.64733,                0.74872,                0.48015,                0.91839,                0.55901,                 1.0407,             0.00076409,             0.00076409,             0.00076409
                     49,                0.95386,                0.58558,                  1.036,                 0.8402,                0.64458,                   0.75,                0.47137,                0.93918,                0.57487,                 1.0467,             0.00074994,             0.00074994,             0.00074994
                     50,                0.94327,                0.57462,                 1.0283,                0.83635,                0.63027,                0.74961,                0.49667,                0.91789,                0.57341,                 1.0419,             0.00073579,             0.00073579,             0.00073579
                     51,                0.93891,                0.57179,                 1.0287,                0.81581,                0.67968,                0.76655,                0.49224,                0.91673,                0.55153,                 1.0395,             0.00072164,             0.00072164,             0.00072164
                     52,                0.93587,                0.57147,                 1.0274,                0.82609,                0.65869,                0.76029,                0.48498,                0.93049,                0.55905,                 1.0426,              0.0007075,              0.0007075,              0.0007075
                     53,                0.93648,                0.57275,                 1.0257,                0.83283,                0.66001,                0.76535,                0.49559,                0.91601,                0.55436,                 1.0359,             0.00069335,             0.00069335,             0.00069335
                     54,                0.93056,                0.56725,                  1.025,                0.82774,                0.68132,                0.77076,                0.50166,                0.90746,                0.55635,                 1.0321,              0.0006792,              0.0006792,              0.0006792
                     55,                0.92803,                0.56525,                 1.0252,                 0.8741,                0.65761,                0.76382,                0.49182,                0.91442,                0.54456,                 1.0376,             0.00066506,             0.00066506,             0.00066506
                     56,                0.92543,                 0.5602,                 1.0227,                0.85199,                0.66007,                0.77174,                0.50132,                0.90707,                0.54626,                 1.0345,             0.00065091,             0.00065091,             0.00065091
                     57,                0.91409,                0.55403,                 1.0151,                 0.8546,                0.66898,                0.77845,                0.50211,                0.90079,                 0.5393,                 1.0283,             0.00063676,             0.00063676,             0.00063676
                     58,                0.91102,                0.55062,                 1.0146,                0.84482,                 0.6858,                0.77569,                0.50652,                0.89789,                0.53451,                 1.0301,             0.00062262,             0.00062262,             0.00062262
                     59,                0.91022,                0.55414,                 1.0158,                0.85106,                0.67821,                0.77845,                0.50771,                0.89327,                0.52679,                 1.0248,             0.00060847,             0.00060847,             0.00060847
                     60,                0.90852,                0.54893,                 1.0148,                0.85202,                0.68288,                   0.78,                0.51216,                0.88556,                0.53344,                 1.0238,             0.00059432,             0.00059432,             0.00059432
                     61,                0.90528,                 0.5481,                 1.0132,                0.84113,                0.67501,                0.77602,                 0.5083,                0.88912,                0.53506,                 1.0256,             0.00058017,             0.00058017,             0.00058017
                     62,                0.90856,                0.54879,                 1.0127,                0.85695,                0.67922,                0.78525,                0.51699,                0.88303,                0.53456,                 1.0234,             0.00056603,             0.00056603,             0.00056603
                     63,                0.90057,                0.54639,                 1.0129,                0.85454,                 0.6682,                 0.7766,                 0.5051,                0.89885,                0.52779,                  1.028,             0.00055188,             0.00055188,             0.00055188
                     64,                0.89199,                0.54007,                 1.0069,                0.85408,                0.68244,                0.78375,                0.51642,                0.88501,                0.52854,                 1.0236,             0.00053773,             0.00053773,             0.00053773
                     65,                0.89118,                0.53397,                 1.0049,                0.84176,                0.67645,                0.77471,                0.51456,                0.88245,                0.53134,                 1.0216,             0.00052359,             0.00052359,             0.00052359
                     66,                0.88208,                0.52787,                 1.0014,                0.83298,                0.68892,                0.78498,                0.51658,                0.88659,                0.53451,                 1.0225,             0.00050944,             0.00050944,             0.00050944
                     67,                0.88659,                0.53059,                 1.0025,                0.83929,                0.69336,                0.78353,                0.51878,                0.88056,                0.51912,                 1.0231,             0.00049529,             0.00049529,             0.00049529
                     68,                0.88391,                0.53287,                 1.0008,                0.86677,                0.66744,                0.78706,                0.51805,                0.88594,                0.52106,                  1.023,             0.00048114,             0.00048114,             0.00048114
                     69,                0.88432,                0.52699,                 1.0019,                0.83547,                0.69498,                0.78577,                0.52132,                0.88242,                0.52303,                 1.0226,               0.000467,               0.000467,               0.000467
                     70,                0.86947,                0.52453,                0.99568,                 0.8418,                0.69926,                0.79264,                0.51696,                0.88072,                0.51491,                 1.0208,             0.00045285,             0.00045285,             0.00045285
                     71,                0.86978,                0.52074,                0.99333,                0.82975,                0.70928,                 0.7929,                0.52593,                0.87141,                0.51419,                 1.0166,              0.0004387,              0.0004387,              0.0004387
                     72,                0.88044,                0.52596,                0.99858,                0.84159,                0.69992,                0.79279,                0.52954,                0.86682,                0.51768,                 1.0142,             0.00042456,             0.00042456,             0.00042456
                     73,                0.86168,                0.51745,                0.99027,                0.84125,                0.69773,                0.79152,                0.52902,                0.87248,                0.51141,                  1.015,             0.00041041,             0.00041041,             0.00041041
                     74,                0.86312,                0.51524,                0.99494,                0.85899,                0.69386,                0.79606,                0.53303,                 0.8636,                0.50967,                 1.0128,             0.00039626,             0.00039626,             0.00039626
                     75,                0.85514,                0.50841,                0.98818,                0.84742,                 0.7004,                0.79891,                0.53358,                 0.8668,                0.51081,                 1.0132,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.8498,                0.50733,                  0.987,                0.82475,                0.72026,                0.80143,                0.53338,                0.86218,                0.50219,                 1.0109,             0.00036797,             0.00036797,             0.00036797
                     77,                0.84568,                0.50372,                0.98563,                0.83635,                0.70936,                0.80258,                0.53589,                0.85876,                0.50598,                 1.0113,             0.00035382,             0.00035382,             0.00035382
                     78,                0.84053,                 0.5017,                0.98276,                 0.8375,                0.70861,                0.80278,                0.53724,                0.85746,                0.50365,                 1.0103,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.8462,                0.50311,                0.98545,                0.84269,                0.72579,                0.80592,                 0.5387,                0.85568,                 0.4978,                 1.0097,             0.00032553,             0.00032553,             0.00032553
                     80,                0.84382,                0.50223,                0.98453,                0.85236,                0.71278,                0.80248,                0.53561,                0.86022,                0.50974,                 1.0119,             0.00031138,             0.00031138,             0.00031138
                     81,                 0.8444,                0.50323,                0.98265,                0.85813,                0.72086,                0.80582,                0.54003,                0.85575,                0.49983,                 1.0089,             0.00029723,             0.00029723,             0.00029723
                     82,                0.83014,                0.49458,                0.97908,                0.87243,                0.70118,                 0.8091,                0.54124,                0.85435,                0.49752,                 1.0077,             0.00028308,             0.00028308,             0.00028308
                     83,                0.83644,                0.49674,                0.97929,                 0.8572,                0.72163,                0.80974,                0.54319,                0.85308,                0.49235,                 1.0065,             0.00026894,             0.00026894,             0.00026894
